model_tag,split,metric,value,ci_low,ci_high,threshold
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,AUC,0.7048093624972027,0.6951793074429679,0.7144394175514376,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,Accuracy,0.6561479869423286,0.6472298343116741,0.6649573932564207,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,Sensitivity,0.6499818643453029,0.6372918371492253,0.6624630601858466,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,Specificity,0.6623141095393543,0.6497223966153624,0.6746798199685423,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,Precision,0.6580976863753213,0.6453920827342031,0.6705804116973372,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,F1,0.654014598540146,0.6449308745660925,0.662751720840537,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,Brier,0.2208059441625332,0.21865484551728187,0.222970791776231,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@0.5,ECE,0.060812373054786414,0.052960291085680324,0.06980870788848369,0.5
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,AUC,0.7048093624972027,0.6951793074429679,0.7144394175514376,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,Accuracy,0.6617700398984403,0.6528850953749136,0.670542322732799,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,Sensitivity,0.6178817555313747,0.6049786270066548,0.6306207481660135,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,Specificity,0.705658324265506,0.6934892530981357,0.7175410414338733,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,Precision,0.6773359840954274,0.664285502642822,0.6901158058993717,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,F1,0.6462443095599393,0.6363198291320501,0.6558221225656666,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,Brier,0.2208059441625332,0.21865484551728187,0.222970791776231,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,val@J,ECE,0.060812373054786414,0.052960291085680324,0.06980870788848369,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,AUC,0.7148158548523602,0.6977181575018152,0.7319135522029052,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,Accuracy,0.6946611595533119,0.6833851022296272,0.7057085665318933,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,Sensitivity,0.6050830889540567,0.5747883770670573,0.6345915599749502,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,Specificity,0.7112803772216177,0.6991753865418243,0.723091185883035,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,Precision,0.2799638172772501,0.26164313882438894,0.29904776475022643,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,F1,0.38280766852195425,0.3654814420865525,0.3995090182462953,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,Brier,0.21658879672261877,0.213941353261657,0.2193950522589079,0.5122656226158142
TTG_TCL__ttg_tcl_pi50_L3_H64_seed42_best,test@J,ECE,0.3066308536461794,0.30366487916244417,0.3096253168154995,0.5122656226158142
